id,start_date,end_date,guest_id,total
1,2023-03-04,2023-03-06,871,387.0
2,2022-11-03,2022-11-06,937,602.0
3,2022-09-17,2022-09-21,252,731.0
4,2022-10-19,2022-10-26,177,1290.0
5,2022-07-06,2022-07-09,220,559.0
6,2023-01-22,2023-01-26,269,688.0
7,2023-02-16,2023-02-17,175,172.0
8,2022-12-06,2022-12-07,552,172.0
9,2022-06-02,2022-06-04,134,387.0
10,2022-11-27,2022-12-03,552,1075.0
11,2022-11-18,2022-11-25,552,1290.0
12,2022-06-12,2022-06-16,363,688.0
13,2023-02-20,2023-02-23,911,516.0
14,2023-03-07,2023-03-10,54,0
